Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,Notes
AMS 7447,Yellow Magic Orchestra,Yellow Magic (Tong Poo),A&M Records,"7"", Single, Yel",,1979,1677949,,2019-09-06 12:47:45
AMSP 7447,Yellow Magic Orchestra,Yellow Magic (Tong Poo),A&M Records,"12"", Yel",,1979,1080928,,2019-09-06 12:48:07
UMJK-9079/80,"Joe Hisaishi, The London Symphony Orchestra",Melodyphony,A&M Records,"2xLP, Album, Ltd, RE",,2018,12018856,,2020-01-03 13:13:07
ABR-001,B-Side Players, All I Want / La Vuelta,Afro:Baile Records,"7"", EP, Single, Ltd",,2017,11224487,,2019-04-16 13:42:00
AIR-001,Hiroshi Yoshimura,Green,AIR Records Inc.,"LP, Album",,1986,596555,,2019-03-22 12:27:58
ALF 85869,Casiopea,Mint Jams,Alfa,"LP, Album",5,1982,1078823,,2018-04-04 12:18:19
ARC 23 001,Haruomi Hosono With Friends Of Earth,S-F-X,Another Record Company,"LP, Album, RE",,1988,481242,,2019-04-22 15:01:23
L-6005-A,Justin Heathcliff,Justin Heathcliff,Atlantic,"LP, Album",,1971,4555591,,2018-04-04 12:16:18
133-000B2DS,Various,Do The Math,"Back 2 Da Source Records, Tribal Music Inc.","2xLP, Comp, Ltd, RE, RM",5,2019,12965994,,2019-09-10 12:58:58
LPS-831,Brother Jack McDuff,Gin And Orange,Cadet,"LP, Album",,1969,13095062,,2019-06-28 10:54:09
HMJY-111,Hiromasa Suzuki,High-Flying,Columbia,"LP, Album, RE",,2016,9349027,,2018-07-13 10:57:52
HL-5003,Himiko Kikuchi,Don't Be Stupid,Continental (7),LP,,1980,1341629,,2018-04-04 13:13:08
DE-077,Charlie,Spacer Woman,Dark Entries,"12"", RE, RM",5,2014,6198328,,2019-11-19 09:55:01
DSK 014,Pink Fink,Pink Fink,Disko Obscura,"LP, Ltd, Pin",,2017,10855992,,2019-01-24 11:33:18
ES01,"Egill Saebjörnsson, Ügh And Bōögar",Out Of Controll In Venice,Egill Sæbjörnsson,LP,,2017,10300858,,2019-06-26 11:01:24
FACTUS 10,New Order,Blue Monday,Factory (US),"12"", Single, Sil",,1983,862393,,2019-09-09 12:17:44
FP1473-1,The Fat White Family,Champagne Holocaust,Fat Possum Records,"LP, Album + 7"", Bon",,2014,6052882,,2019-10-29 15:19:53
SLPM 17806,Koós János,Koós 4.,Favorit,"LP, Album",,1983,5388760,,2019-09-10 16:27:31
FDT 011,Robody,Dr. Youwzy,FDT (2),"12""",,1984,385954,,2019-01-10 12:40:15
GHS 24155,Nitzer Ebb,That Total Age,Geffen Records,"LP, Album",,1987,13062,,2019-10-23 11:22:48
DSS 12 - DS 029,Clio,Faces ,La Discoteca,"12"", Ltd, Num, RE",5,2016,8282405,,2019-01-23 16:46:07
LITA 127,Johnnie Frierson,Have You Been Good To Yourself,Light In The Attic,"LP, Album, Ltd, Num",,2016,8954551,,2019-08-13 11:34:32
LITA 156,Various,Even A Tree Can Shed Tears: Japanese Folk & Rock 1969-1973,Light In The Attic,"2xLP, Comp",,2017,11023834,,2019-09-26 16:02:20
LITA103,Various,Native North America (Vol. 1),Light In The Attic,"3xLP, Comp, S/Edition, Tan",,2014,6356214,,2019-04-24 09:00:12
PHJR-10002,Swing Slow,Swing Slow,Mercury,"10"", MiniAlbum",,1996,448071,,2019-01-03 09:43:11
MFSL 2-516,"Ludwig van Beethoven / Georg Solti, The Chicago Symphony Orchestra And Chicago Symphony Chorus, Pilar Lorengar, Yvonne Minton, Stuart Burrows, Martti Talvela","Symphony No. 9 In D Minor, Op. 125 'Choral'","Mobile Fidelity Sound Lab, London Records","2xLP, RE, RM, ½-S",,1981,2963118,,2019-09-26 15:37:05
MOND-014,Various,Studio Ghibli Kokyo Kyokushu,Mondo (3),"LP, Yel + LP, Gre + Comp, Ltd",,2013,4929255,,2018-04-04 12:36:39
MEF 6004,Shigeaki Saegusa,Trace Of The Stars,NHK,"LP, Album",,1978,13979008,,2019-08-27 10:36:23
22NS-2,Haruomi Hosono With Friends Of Earth,S-F-X,Non-Standard,"LP, Album",,1984,580627,,2019-09-06 13:24:25
OM-005-7,Shintaro Sakamoto,Don't Know What's Normal,Other Music Recording Co.,"7"", Single",,2013,4731557,,2019-08-07 16:29:20
Ozma-001,Various,Voyager Golden Record 40th Anniversary Edition,Ozma Records,"3xLP, Comp, Dlx, Ltd, Num, 180 + Box, Comp, Dlx, L",,2017,9228135,,2019-09-26 16:00:47
